dealership_id,dealership_name,dealership_type,dealership_state,doc_fee,destination_fee,sales_tax_rate,registration_fee,regional_adjustment
66,"Mcpherson, Phelps and Morton Motors",Franchised,MI,386.48,1531.23,0.06,46.83,0.95
67,Leblanc LLC Motors,Independent,TX,358.2,1632.35,0.082,174.13,0.98
68,"Jackson, Palmer and Vasquez Motors",Independent,LA,129.02,2242.32,0.0955,135.41,0.94
69,Lopez LLC Motors,Franchised,CA,85.0,1146.52,0.0882,63.7,1.08
70,Wilcox Ltd Motors,Independent,WY,206.08,2761.73,0.0549,200.25,0.93
71,"Parsons, Davis and Mitchell Motors",Franchised,AZ,247.81,1876.37,0.084,131.36,0.96
72,"Jones, Mata and Allen Motors",Franchised,FL,651.26,2335.73,0.0701,133.69,1.02
73,"Oconnor, Nunez and Scott Motors",Franchised,CA,85.0,2877.86,0.0882,47.53,1.08
74,"Lin, Chen and Small Motors",Franchised,CO,146.17,2484.83,0.0777,51.87,0.98
75,"Brown, Newman and Mccullough Motors",Franchised,MD,212.7,2435.22,0.06,61.74,1.02
76,Gonzalez-Ramsey Motors,Independent,WA,353.7,2010.82,0.0929,71.48,1.04
77,Elliott Inc Motors,Franchised,AZ,463.26,1184.6,0.084,106.83,0.96
78,"Ray, Martinez and Mcdaniel Motors",Independent,CA,85.0,1088.17,0.0882,88.38,1.08
79,Leonard LLC Motors,Independent,PA,152.33,1323.16,0.0634,110.58,0.97
80,Williams-Chapman Motors,Franchised,TX,382.27,1223.75,0.082,213.74,0.98
81,"Hart, Cook and Day Motors",Franchised,CT,376.41,2091.18,0.0635,191.09,1.01
82,Clayton-Jones Motors,Franchised,MA,333.0,1859.57,0.0625,28.57,1.01
83,Gaines-Smith Motors,Franchised,PA,245.86,2797.85,0.0634,63.07,0.97
84,Estes-Williams Motors,Franchised,CA,85.0,2333.87,0.0882,92.5,1.08
85,Lane-Tyler Motors,Independent,NY,323.95,2947.67,0.0852,173.64,1.05
86,"Kelley, Foster and Hess Motors",Franchised,PA,470.31,2729.21,0.0634,220.12,0.97
87,Smith Inc Motors,Independent,WA,424.31,1049.57,0.0929,171.0,1.04
88,Thomas Ltd Motors,Independent,TN,232.87,2604.47,0.0955,197.13,0.94
89,"Fuller, Williams and Cruz Motors",Independent,OR,424.3,1318.4,0.0,163.76,0.97
90,Perry-Cohen Motors,Franchised,GA,253.02,2717.19,0.0737,65.6,0.98
91,Bowman Ltd Motors,Independent,TX,426.63,1699.32,0.082,188.21,0.98
92,Arnold-Anderson Motors,Franchised,MD,448.53,1047.33,0.06,59.59,1.02
93,Johnson-Barnes Motors,Franchised,AL,231.3,2933.78,0.0924,77.22,0.93
94,Mitchell Group Motors,Independent,MI,356.59,2359.04,0.06,192.95,0.95
95,"Hanna, Bell and Holt Motors",Franchised,AZ,232.46,1230.68,0.084,218.93,0.96
96,Jones LLC Motors,Independent,GA,171.43,1076.51,0.0737,142.3,0.98
97,Chambers-Suarez Motors,Independent,NC,238.27,1872.79,0.0698,221.77,0.97
98,Larson-Mitchell Motors,Franchised,OH,146.26,1509.45,0.0724,165.3,0.96
99,Mcdaniel Ltd Motors,Franchised,CA,85.0,2039.84,0.0882,185.33,1.08
100,Howard-Gray Motors,Franchised,TX,374.74,1728.44,0.082,34.34,0.98
101,Fowler-Haley Motors,Independent,CA,85.0,2246.31,0.0882,155.99,1.08
102,Cooper-Williams Motors,Independent,TN,149.85,2014.25,0.0955,156.71,0.94
103,Young-Simon Motors,Independent,NY,230.47,2108.82,0.0852,59.33,1.05
104,Rhodes Inc Motors,Independent,NC,365.97,2354.64,0.0698,205.08,0.97
105,Mclaughlin Group Motors,Independent,KS,346.21,1812.15,0.087,190.91,0.92
106,"Wall, Hernandez and Watts Motors",Franchised,FL,651.94,1859.78,0.0701,138.9,1.02
107,Taylor-Wilson Motors,Independent,IL,361.88,1883.57,0.0881,158.5,0.99
108,"Rubio, Villanueva and Johnson Motors",Franchised,AL,304.47,2317.7,0.0924,78.18,0.93
109,Castro PLC Motors,Independent,FL,831.93,1186.77,0.0701,215.16,1.02
110,"Patterson, Sanders and Williams Motors",Franchised,CA,85.0,2345.59,0.0882,66.05,1.08
111,"Valencia, Munoz and Dalton Motors",Franchised,NY,179.65,1092.43,0.0852,221.71,1.05
112,Kidd LLC Motors,Franchised,TX,344.51,1910.83,0.082,201.66,0.98
113,Salazar-Smith Motors,Independent,MS,330.27,1988.75,0.0707,70.02,0.9
114,Lawrence-Williams Motors,Franchised,LA,362.42,2785.32,0.0955,196.39,0.94
115,Berg Inc Motors,Independent,TN,454.19,1437.68,0.0955,184.84,0.94
116,Haas-Jones Motors,Independent,CT,378.36,1100.44,0.0635,71.09,1.01
117,Hart-Bowman Motors,Independent,LA,439.33,1266.68,0.0955,115.25,0.94
118,Allen-Day Motors,Independent,FL,765.57,2900.08,0.0701,202.74,1.02
119,Boyd-Salazar Motors,Independent,IA,345.06,2661.14,0.0694,132.31,0.93
120,Davis-Henderson Motors,Independent,NC,458.88,1900.14,0.0698,174.11,0.97
121,Barton-Jones Motors,Independent,LA,435.95,2531.63,0.0955,126.87,0.94
122,Howard Group Motors,Independent,IA,350.7,1879.75,0.0694,166.28,0.93
123,Jones Ltd Motors,Independent,NY,193.8,1639.42,0.0852,130.73,1.05
124,"Torres, Page and Carpenter Motors",Franchised,TX,155.35,1766.07,0.082,51.33,0.98
125,Hanson LLC Motors,Independent,FL,606.98,1815.2,0.0701,131.24,1.02
126,"Baker, Chavez and Waters Motors",Franchised,OH,266.31,2665.78,0.0724,99.84,0.96
127,Fleming-Bradley Motors,Franchised,CO,407.92,2713.46,0.0777,176.95,0.98
128,"Woods, Gordon and Bryant Motors",Franchised,KY,252.15,2885.48,0.06,81.22,0.92
129,"Davis, Miller and Washington Motors",Independent,CA,85.0,2706.9,0.0882,215.45,1.08
130,"Stevens, Lopez and Jones Motors",Franchised,NC,267.61,1976.46,0.0698,75.95,0.97
131,Padilla Group Motors,Independent,IL,294.26,1672.26,0.0881,159.22,0.99
132,Burns LLC Motors,Franchised,FL,702.16,2681.01,0.0701,208.51,1.02
133,Payne Group Motors,Franchised,TX,492.29,2813.86,0.082,141.34,0.98
134,"Burgess, Barber and Moore Motors",Franchised,PA,365.2,2285.5,0.0634,47.82,0.97
135,Stevens-Thompson Motors,Franchised,NE,284.68,1520.31,0.0697,87.11,0.92
136,"Solis, Gonzalez and Jones Motors",Independent,PA,281.88,2522.46,0.0634,97.72,0.97
137,"Fischer, Phillips and Fitzgerald Motors",Independent,NC,400.8,1504.54,0.0698,36.79,0.97
138,"Ryan, Mccoy and Brewer Motors",Franchised,MO,107.75,2999.82,0.083,91.74,0.95
139,Rodriguez Group Motors,Franchised,PA,360.06,2508.47,0.0634,214.67,0.97
140,Kennedy-Henderson Motors,Franchised,VT,179.74,2242.67,0.0627,68.9,0.96
141,Davidson-Tran Motors,Franchised,ME,289.42,2127.94,0.055,64.68,0.95
142,Bailey Group Motors,Independent,FL,849.73,1335.58,0.0701,144.49,1.02
143,Craig and Sons Motors,Franchised,GA,399.17,2555.58,0.0737,53.57,0.98
144,Smith-Fischer Motors,Franchised,NY,224.42,2857.77,0.0852,138.04,1.05
145,"Rodriguez, Terry and Sims Motors",Independent,NY,463.21,1793.31,0.0852,166.58,1.05
146,Jacobson-Benson Motors,Franchised,CA,85.0,2184.2,0.0882,190.27,1.08
147,"Williams, Contreras and Morris Motors",Independent,MA,197.14,2700.59,0.0625,143.08,1.01
148,Davis-Anderson Motors,Franchised,GA,148.42,1694.41,0.0737,107.82,0.98
149,Weiss Ltd Motors,Independent,CA,85.0,1137.91,0.0882,152.75,1.08
150,Dorsey Group Motors,Independent,NY,105.06,2644.66,0.0852,41.64,1.05
151,Lee LLC Motors,Independent,KS,484.32,2414.62,0.087,109.27,0.92
152,Thompson PLC Motors,Independent,FL,866.9,2231.82,0.0701,208.52,1.02
153,"Bridges, Hoffman and Warren Motors",Independent,TX,409.86,1871.15,0.082,169.86,0.98
154,"Nolan, Richardson and Richard Motors",Franchised,GA,207.36,2661.46,0.0737,37.77,0.98
155,Gallegos-Harmon Motors,Franchised,RI,452.65,2500.95,0.07,136.82,0.98
156,Rivas-Gonzalez Motors,Independent,FL,834.09,1057.4,0.0701,194.45,1.02
157,Baker Ltd Motors,Franchised,WI,172.74,1709.65,0.0543,72.96,0.94
158,Nelson-Sullivan Motors,Independent,AL,211.86,2111.58,0.0924,125.91,0.93
159,Nelson-Gross Motors,Franchised,FL,595.53,2440.15,0.0701,120.16,1.02
160,"Bates, Welch and Flores Motors",Independent,WA,403.27,2291.81,0.0929,120.62,1.04
161,Monroe and Sons Motors,Franchised,PA,417.17,1588.47,0.0634,102.9,0.97
162,"Dominguez, Foster and Santos Motors",Independent,MA,197.32,1946.52,0.0625,128.84,1.01
163,King-Richardson Motors,Independent,TN,270.2,1703.62,0.0955,113.02,0.94
164,Boyer LLC Motors,Franchised,NC,222.65,1241.31,0.0698,59.48,0.97
165,Ward Group Motors,Franchised,CA,85.0,2485.76,0.0882,214.93,1.08
166,Rivera Inc Motors,Franchised,OK,376.07,1432.77,0.0897,119.26,0.91
167,Glover PLC Motors,Independent,NY,389.83,2961.02,0.0852,190.69,1.05
168,Howell Inc Motors,Independent,FL,648.12,1358.88,0.0701,22.9,1.02
169,Edwards Ltd Motors,Franchised,CA,85.0,1548.62,0.0882,219.73,1.08
170,Berger-Wilson Motors,Franchised,VA,321.34,2275.74,0.0577,174.32,0.99
171,Guzman Ltd Motors,Franchised,WI,141.04,2148.13,0.0543,116.23,0.94
172,Hall-Cochran Motors,Independent,CA,85.0,1681.41,0.0882,217.93,1.08
173,"Powell, Marsh and Copeland Motors",Independent,NC,200.99,1228.17,0.0698,33.4,0.97
174,Harrison-Hunter Motors,Franchised,FL,745.87,1303.45,0.0701,186.28,1.02
175,"Dennis, Patel and Cline Motors",Franchised,TN,479.65,2987.84,0.0955,44.28,0.94
176,Walker-Hammond Motors,Franchised,TX,405.78,2551.39,0.082,97.98,0.98
177,Moreno Inc Motors,Independent,MO,463.4,2720.33,0.083,222.96,0.95
178,Mcdonald PLC Motors,Franchised,IL,222.15,2219.26,0.0881,171.72,0.99
179,Curtis-Gardner Motors,Franchised,MS,479.04,2251.03,0.0707,74.25,0.9
180,Andrade Group Motors,Franchised,TX,132.47,1347.63,0.082,35.39,0.98
181,Patterson Inc Motors,Independent,PA,101.07,2378.74,0.0634,116.33,0.97
182,Morrison-Mcconnell Motors,Independent,TX,113.06,2413.91,0.082,164.11,0.98
183,"Sellers, Garcia and Santos Motors",Franchised,UT,281.61,2847.82,0.0725,181.5,0.95
184,Hodges LLC Motors,Franchised,CT,350.02,1850.28,0.0635,131.64,1.01
185,Woods-Curtis Motors,Independent,FL,823.82,2653.26,0.0701,34.64,1.02
186,"Nelson, Bauer and Jones Motors",Independent,WI,166.37,2190.09,0.0543,188.97,0.94
187,Salas and Sons Motors,Independent,CO,468.48,1248.71,0.0777,161.18,0.98
188,"Compton, Salinas and Johnson Motors",Independent,MI,379.89,2000.94,0.06,121.23,0.95
189,Robertson-Frederick Motors,Franchised,NC,132.18,2778.85,0.0698,170.58,0.97
190,Ross-Baker Motors,Franchised,FL,801.86,1182.65,0.0701,217.19,1.02
191,"Burton, Cooper and Duncan Motors",Franchised,CA,85.0,2999.14,0.0882,157.82,1.08
192,Clark-Molina Motors,Franchised,IA,207.8,2526.22,0.0694,55.91,0.93
193,Koch Inc Motors,Independent,IA,307.59,2832.15,0.0694,57.21,0.93
194,Huffman-Lucas Motors,Independent,MA,334.13,2938.11,0.0625,116.35,1.01
195,Humphrey LLC Motors,Independent,PA,263.34,2340.27,0.0634,195.84,0.97
196,Riley-Hernandez Motors,Independent,PA,231.92,1576.44,0.0634,213.76,0.97
197,Hart-Ruiz Motors,Franchised,WA,425.43,1909.65,0.0929,84.48,1.04
198,Peterson PLC Motors,Independent,IA,229.31,2729.82,0.0694,189.11,0.93
199,Rosario Inc Motors,Independent,OR,100.46,1826.5,0.0,58.45,0.97
200,"Lopez, Welch and Brown Motors",Independent,AZ,244.71,2250.82,0.084,175.8,0.96
201,Costa Group Motors,Franchised,TN,181.42,2855.35,0.0955,109.81,0.94
202,Rice PLC Motors,Independent,CA,85.0,1242.85,0.0882,219.5,1.08
203,"Ortega, Knight and Johnston Motors",Franchised,TX,343.55,2419.57,0.082,83.7,0.98
204,Snyder Ltd Motors,Independent,IA,105.47,1186.42,0.0694,223.41,0.93
205,"Butler, Diaz and Strong Motors",Independent,MA,465.17,2894.12,0.0625,152.78,1.01
206,Nash-Mejia Motors,Franchised,CA,85.0,1996.75,0.0882,166.9,1.08
207,"Montes, Thornton and House Motors",Independent,TX,303.55,1830.98,0.082,118.91,0.98
208,Molina Ltd Motors,Independent,WI,288.89,2102.53,0.0543,98.64,0.94
209,Wells-Jones Motors,Franchised,CA,85.0,2728.05,0.0882,76.63,1.08
210,Harris-Davis Motors,Independent,TX,416.0,1679.75,0.082,181.48,0.98
211,Mitchell and Sons Motors,Franchised,MI,206.87,1565.68,0.06,81.2,0.95
212,Conner-Jones Motors,Independent,MO,334.78,2730.52,0.083,111.54,0.95
213,Gardner-White Motors,Independent,TN,293.74,2103.83,0.0955,131.4,0.94
214,Spencer-Weeks Motors,Independent,FL,727.67,2739.2,0.0701,221.06,1.02
215,Perez-Rogers Motors,Independent,MD,195.52,1467.12,0.06,178.99,1.02
216,Morris-Daniels Motors,Independent,FL,521.82,2410.46,0.0701,186.34,1.02
217,"Jones, Miles and Green Motors",Franchised,PA,254.43,1990.66,0.0634,27.59,0.97
218,Herring Inc Motors,Independent,AL,300.92,2739.4,0.0924,199.21,0.93
219,Jackson PLC Motors,Independent,TN,276.12,1030.7,0.0955,49.55,0.94
220,Sherman PLC Motors,Franchised,KY,448.37,1149.66,0.06,180.21,0.92
221,"Turner, Cameron and Brown Motors",Independent,WI,206.01,2299.67,0.0543,194.61,0.94
222,Strickland-Scott Motors,Independent,MI,440.94,2908.28,0.06,148.49,0.95
223,Williams and Sons Motors,Independent,CA,85.0,2744.77,0.0882,27.36,1.08
224,Foster-Ibarra Motors,Independent,PA,127.37,2994.85,0.0634,173.09,0.97
225,"Rios, Palmer and Gamble Motors",Franchised,NY,273.59,2520.74,0.0852,164.3,1.05
226,Pineda LLC Motors,Franchised,FL,550.25,2388.0,0.0701,205.2,1.02
227,Davis-Kelley Motors,Franchised,VT,118.4,1586.74,0.0627,96.84,0.96
228,"Nunez, Lucas and Martinez Motors",Independent,IL,158.23,2131.86,0.0881,182.47,0.99
229,"Gardner, Mendoza and Lee Motors",Franchised,IA,167.99,2218.98,0.0694,98.42,0.93
230,Williams Group Motors,Independent,MA,373.25,2825.66,0.0625,49.34,1.01
231,Sanchez-Smith Motors,Independent,MN,284.46,1919.14,0.0749,156.7,0.95
232,"Allen, Melendez and Jones Motors",Independent,GA,459.56,2802.42,0.0737,158.91,0.98
233,"Robinson, Scott and Petty Motors",Independent,VA,163.19,2890.47,0.0577,222.47,0.99
234,Williams-Ross Motors,Independent,GA,219.66,2380.63,0.0737,113.65,0.98
235,"Cook, Vaughn and Meadows Motors",Independent,FL,651.06,2706.67,0.0701,41.86,1.02
236,"Davis, Meyers and Bullock Motors",Independent,MD,252.55,2149.62,0.06,223.5,1.02
237,"Sullivan, Thomas and Acosta Motors",Independent,NY,218.09,1548.96,0.0852,136.02,1.05
238,Webb PLC Motors,Franchised,CA,85.0,2821.23,0.0882,172.76,1.08
239,"Woods, Jenkins and Martin Motors",Independent,TN,433.14,2551.48,0.0955,67.17,0.94
240,Castro PLC Motors,Franchised,TX,420.77,2273.24,0.082,147.28,0.98
241,Cuevas Ltd Motors,Franchised,NE,371.11,2256.5,0.0697,205.2,0.92
242,"Harvey, Hubbard and Miranda Motors",Independent,WV,358.54,2577.22,0.0655,26.84,0.9
243,Smith-Chandler Motors,Franchised,KS,245.94,1180.27,0.087,80.5,0.92
244,Smith Ltd Motors,Franchised,PA,398.99,1401.59,0.0634,181.24,0.97
245,Mitchell Inc Motors,Independent,CA,85.0,2061.7,0.0882,207.26,1.08
246,"Carpenter, White and Torres Motors",Independent,MS,432.19,2828.1,0.0707,213.56,0.9
247,Simmons-Roy Motors,Independent,OH,486.95,2493.12,0.0724,89.44,0.96
248,"Mckenzie, Hayes and House Motors",Franchised,ME,146.07,1281.51,0.055,218.13,0.95
249,Wade Ltd Motors,Independent,ME,444.06,2934.54,0.055,184.94,0.95
250,Garcia-Perez Motors,Independent,KY,246.31,1027.84,0.06,130.0,0.92
251,Brown-Miller Motors,Independent,NY,281.91,2169.12,0.0852,188.6,1.05
252,Thompson-Davis Motors,Franchised,IL,476.12,2349.67,0.0881,116.65,0.99
253,Ryan-Allen Motors,Independent,KY,347.82,2830.51,0.06,65.38,0.92
254,Austin LLC Motors,Independent,NY,125.29,2818.78,0.0852,81.95,1.05
255,Thomas-Pierce Motors,Franchised,TX,263.32,1090.69,0.082,27.63,0.98
256,Robinson-Long Motors,Franchised,MI,498.37,1194.38,0.06,201.89,0.95
257,Gonzalez-Hill Motors,Independent,MS,154.27,1742.02,0.0707,214.62,0.9
258,"Smith, Lewis and Reid Motors",Independent,MO,378.59,2174.68,0.083,168.95,0.95
259,Mathews-Torres Motors,Franchised,MI,454.17,2667.39,0.06,146.21,0.95
260,Morrison-Sweeney Motors,Independent,CA,85.0,1065.43,0.0882,95.96,1.08
261,Rivera-Benson Motors,Franchised,MA,277.35,2710.9,0.0625,40.37,1.01
262,"Welch, Shaffer and Knox Motors",Independent,NV,374.27,1121.1,0.0823,76.56,0.97
263,Sullivan Inc Motors,Independent,TX,487.28,1183.35,0.082,63.48,0.98
264,Sanchez-Bennett Motors,Franchised,NC,355.8,1101.16,0.0698,88.37,0.97
265,Austin Group Motors,Franchised,CT,495.53,1137.22,0.0635,176.86,1.01
266,Robinson-Kim Motors,Franchised,WA,182.86,2626.11,0.0929,67.76,1.04
267,"Moreno, Miller and Hill Motors",Franchised,MO,409.75,1554.55,0.083,221.73,0.95
268,Carey-Hernandez Motors,Independent,MO,495.01,2597.03,0.083,42.53,0.95
269,Ayers Inc Motors,Franchised,PA,446.58,1029.72,0.0634,181.95,0.97
270,Jones-Underwood Motors,Independent,NY,195.17,1031.56,0.0852,74.4,1.05
271,Pierce PLC Motors,Independent,LA,150.7,2052.17,0.0955,172.86,0.94
272,Watson-Blackwell Motors,Independent,LA,290.5,2026.48,0.0955,42.36,0.94
273,Harris Group Motors,Franchised,CT,301.54,2454.49,0.0635,206.29,1.01
274,Nunez-Johnson Motors,Independent,KS,363.56,1916.09,0.087,217.63,0.92
275,Webb-Lewis Motors,Independent,NC,124.33,2694.6,0.0698,107.39,0.97
276,Riddle-Aguilar Motors,Independent,GA,143.18,1146.98,0.0737,36.56,0.98
277,"Parsons, Anderson and Bell Motors",Franchised,MN,343.32,1252.38,0.0749,147.99,0.95
278,"Young, Cooper and Miller Motors",Independent,TN,334.15,1761.81,0.0955,142.47,0.94
279,"Crawford, Parrish and Lester Motors",Independent,MO,217.96,1198.36,0.083,163.86,0.95
280,Martin Ltd Motors,Franchised,MN,441.12,1860.14,0.0749,202.06,0.95
281,"Massey, Hunt and Castillo Motors",Independent,OR,265.53,1797.46,0.0,169.57,0.97
282,"Turner, George and Henson Motors",Independent,PA,225.02,2330.22,0.0634,96.73,0.97
283,Cordova-Johnson Motors,Independent,PA,161.06,1134.27,0.0634,190.51,0.97
284,Doyle PLC Motors,Franchised,CA,85.0,1863.75,0.0882,172.64,1.08
285,"Cordova, Bolton and Weaver Motors",Franchised,VA,249.06,2112.74,0.0577,140.23,0.99
286,Adkins-Miles Motors,Independent,CA,85.0,2340.03,0.0882,104.22,1.08
287,"White, Huff and Ruiz Motors",Independent,GA,449.44,2736.18,0.0737,167.82,0.98
288,Cooper-Russell Motors,Independent,MI,487.36,1703.29,0.06,138.47,0.95
289,Wood-Powell Motors,Independent,NY,185.1,1448.49,0.0852,42.18,1.05
290,"White, Wilson and Banks Motors",Independent,VA,438.15,1229.77,0.0577,77.11,0.99
291,Davis Group Motors,Franchised,CA,85.0,2614.44,0.0882,193.26,1.08
292,Baldwin-Hayes Motors,Franchised,CA,85.0,2217.99,0.0882,154.86,1.08
293,Matthews and Sons Motors,Franchised,CO,377.39,1360.83,0.0777,164.05,0.98
294,"Romero, West and Bradford Motors",Independent,PA,223.59,1702.05,0.0634,57.19,0.97
295,"Andersen, Thomas and Morton Motors",Independent,TX,157.3,1139.17,0.082,171.9,0.98
296,Sanchez-Myers Motors,Franchised,NC,488.72,2492.22,0.0698,64.1,0.97
297,Meyers and Sons Motors,Independent,AZ,267.93,1314.82,0.084,83.89,0.96
298,Gutierrez-Wheeler Motors,Franchised,FL,662.19,2766.68,0.0701,51.89,1.02
299,Reyes Inc Motors,Franchised,MA,401.77,2347.94,0.0625,75.78,1.01
300,Mcfarland PLC Motors,Independent,CA,85.0,1971.32,0.0882,110.62,1.08
301,Ortiz PLC Motors,Independent,CA,85.0,1431.14,0.0882,125.03,1.08
302,"Koch, Eaton and Kelley Motors",Franchised,NC,238.07,1566.49,0.0698,159.09,0.97
303,"Glenn, Allen and Flores Motors",Independent,NC,294.65,1090.83,0.0698,101.03,0.97
304,Bray-Clay Motors,Franchised,TN,339.73,1408.85,0.0955,213.79,0.94
305,Williams-Jones Motors,Independent,WA,406.94,1578.89,0.0929,44.6,1.04
306,"Smith, Martin and Davis Motors",Independent,VT,298.95,1351.39,0.0627,97.94,0.96
307,Smith Ltd Motors,Independent,NC,381.47,1144.15,0.0698,196.66,0.97
308,Montoya and Sons Motors,Franchised,PA,116.92,1919.51,0.0634,35.96,0.97
