loan_id,transaction_id,loan_amount,down_payment,loan_term_months,loan_interest_rate,monthly_payment,loan_type
68,78,5000.01,1117.44,72,0.021,73.97,Purchase Loan
69,79,48.34,1012.24,72,0.026,0.73,Purchase Loan
70,80,6399.33,6251.1,60,0.021,112.45,Purchase Loan
71,81,29862.31,9967.72,72,0.011,343.46,Lease
72,82,31576.92,2263.56,84,0.026,411.57,Purchase Loan
73,83,23789.14,3893.22,60,0.061,461.02,Purchase Loan
74,84,16776.75,2441.79,60,0.021,366.21,Lease
75,85,10741.07,940.46,72,0.081,188.85,Purchase Loan
76,86,25409.95,3612.22,72,0.061,422.32,Purchase Loan
77,87,18072.26,2816.86,72,0.036,279.46,Purchase Loan
78,88,1129.63,1507.93,60,0.026,107.26,Lease
79,89,618.58,1968.59,36,0.061,248.41,Lease
80,90,30323.6,3576.02,48,0.036,679.26,Purchase Loan
81,91,15517.18,2427.52,48,0.026,340.73,Purchase Loan
82,92,2204.73,1705.56,72,0.081,38.76,Purchase Loan
83,93,5261.41,1519.59,72,0.026,79,Purchase Loan
84,95,2751.12,1497.58,72,0.021,165.75,Lease
85,96,27810.09,2467.28,72,0.061,462.21,Purchase Loan
86,97,1514.23,1658.64,84,0.026,19.74,Purchase Loan
87,98,17212.9,3208.64,72,0.036,266.17,Purchase Loan
88,99,35760.8,8095.09,60,0.046,283.37,Lease
89,101,7768.31,8664.06,60,0.011,133.12,Purchase Loan
90,102,2220.23,2654.42,72,0.026,33.34,Purchase Loan
91,103,30296.24,6459.74,60,0.021,291.84,Lease
92,104,17053.88,2068.1,72,0.026,256.07,Purchase Loan
93,105,15492.16,2336.95,72,0.061,257.48,Purchase Loan
94,106,1551.65,1783.62,84,0.081,24.26,Purchase Loan
95,107,2194.79,1813.1,72,0.036,33.94,Purchase Loan
96,109,50836.25,6906.33,84,0.01,626.87,Purchase Loan
97,110,35831.95,4715.6,72,0.061,595.53,Purchase Loan
98,111,40000.16,5214.89,72,0.061,664.81,Purchase Loan
99,112,24419.4,5157.85,60,0.036,445.33,Purchase Loan
100,113,107552.7,30850.43,60,0.046,1280.08,Lease
101,114,20685.3,2827.57,84,0.081,323.44,Purchase Loan
102,115,38767.24,3968.46,72,0.081,681.61,Purchase Loan
103,116,29806.97,4862.07,60,0.026,233.18,Lease
104,117,19674.64,963.64,36,0.081,617.44,Purchase Loan
105,118,31045.58,5000.39,36,0.01,875.74,Purchase Loan
106,119,23156.7,4256.05,72,0.061,384.87,Purchase Loan
107,120,75095.24,9828.3,72,0.021,1110.99,Purchase Loan
108,121,51578.92,2811.63,72,0.021,763.08,Purchase Loan
109,122,27624.6,3861.12,36,0.081,866.93,Purchase Loan
110,124,6345.36,2116.31,84,0.036,85.57,Purchase Loan
111,125,32406.21,5104.45,72,0.021,479.43,Purchase Loan
112,126,13543.24,5045.3,72,0.01,193.88,Purchase Loan
113,127,11310.09,3485.23,60,0.021,198.74,Purchase Loan
114,128,22076.56,3491.86,72,0.036,341.38,Purchase Loan
115,130,22324.23,4341.4,84,0.081,349.06,Purchase Loan
116,132,35035.73,6786.39,72,0.066,590.62,Purchase Loan
117,133,78773.49,18628.54,72,0.046,1254.08,Purchase Loan
118,134,2708.51,1760,48,0.021,58.88,Purchase Loan
119,135,26956.28,5845.55,72,0.021,398.8,Purchase Loan
120,136,22950.12,2569.31,36,0.021,658.35,Purchase Loan
121,137,110556.55,17486.28,84,0.01,900.79,Lease
122,138,72603.1,14360.07,72,0.0111,1042.79,Purchase Loan
123,140,238.3,6298.45,60,0.0461,4.45,Purchase Loan
124,141,30047.89,3214.1,84,0.0811,469.98,Purchase Loan
125,142,25820.08,4788.45,60,0.0811,294.04,Lease
126,143,51722.1,6333.45,72,0.0661,365.95,Lease
127,144,17466.55,1304.52,60,0.0811,142.02,Lease
128,145,21075.38,1774.43,84,0.0611,308.99,Purchase Loan
129,146,80.61,3415.11,72,0.0261,1.21,Purchase Loan
130,147,1284.7,850.83,72,0.0811,22.59,Purchase Loan
131,148,10917.89,5617.63,72,0.0261,163.98,Purchase Loan
132,149,22975.51,5524.58,72,0.0361,355.39,Purchase Loan
133,152,20184.88,2905.57,72,0.0261,303.17,Purchase Loan
134,153,4984.88,3040.53,72,0.0261,74.87,Purchase Loan
135,154,32206.46,5912.76,60,0.0611,624.29,Purchase Loan
136,155,16849.38,1196.44,84,0.0611,247.03,Purchase Loan
137,156,20258.94,3377.17,72,0.0361,313.37,Purchase Loan
138,157,64415.48,4498.98,36,0.0611,1962.86,Purchase Loan
139,158,15967.46,3611.59,84,0.0461,222.77,Purchase Loan
140,159,48841.54,8475.77,60,0.0461,522.88,Lease
141,160,17624.92,1164.86,60,0.0261,313.65,Purchase Loan
142,161,21250.06,2859.02,60,0.0361,387.62,Purchase Loan
143,164,7976.43,1735.34,36,0.0811,250.36,Purchase Loan
144,166,10442.8,2453.35,72,0.0811,136.09,Lease
145,167,43757.75,2913.82,48,0.0261,496.2,Lease
146,168,10809.34,2307.36,72,0.0361,167.2,Purchase Loan
147,169,42099.76,4419.95,72,0.0211,623.03,Purchase Loan
148,170,27301.24,3797.19,48,0.0211,593.62,Purchase Loan
149,171,45862.52,5047.99,60,0.0211,806.08,Purchase Loan
150,172,12163.16,1339.68,72,0.0211,180,Purchase Loan
151,173,18229.03,3606.15,60,0.0211,320.39,Purchase Loan
152,174,17571.71,2052.3,60,0.0261,312.7,Purchase Loan
153,175,32046,3959.77,60,0.0361,584.55,Purchase Loan
154,176,11761.03,2355.68,72,0.0261,176.65,Purchase Loan
155,177,71068.45,9606.6,84,0.0211,460.41,Lease
156,178,61964.25,9384.03,72,0.0111,594.86,Lease
157,179,5166.75,866.63,72,0.0361,79.92,Purchase Loan
158,180,3610.47,2772.63,84,0.0812,56.49,Purchase Loan
159,181,24042.5,8938.6,72,0.01,260.82,Lease
160,182,18850.7,2495.37,72,0.0812,331.62,Purchase Loan
161,183,7289.53,1853.88,72,0.0212,68.44,Lease
162,184,18464.7,2296.67,72,0.0362,285.7,Purchase Loan
163,185,9636.45,844.29,72,0.0262,144.78,Purchase Loan
164,187,25258.3,2125.95,60,0.0262,449.61,Purchase Loan
165,188,12480.54,7758.79,84,0.0112,183.33,Lease
166,189,47711.36,10261.41,36,0.0262,1379.53,Purchase Loan
167,190,25528.36,1998.68,84,0.0262,160.59,Lease
168,191,13258.38,3643.29,72,0.0212,196.27,Purchase Loan
169,192,38662.58,23768.93,36,0.0662,1187.08,Purchase Loan
170,193,29941.88,5658.77,60,0.0212,526.39,Purchase Loan
171,195,22002.48,5023.76,84,0.0212,282.08,Purchase Loan
172,197,60053.79,6081.83,60,0.01,1026.54,Purchase Loan
173,198,22229,2105.48,72,0.01,155.05,Lease
174,199,58815.31,14735.16,84,0.0662,876.8,Purchase Loan
175,200,80872.72,21361.98,72,0.0112,1161.92,Purchase Loan
176,201,31608.24,4324.62,84,0.0212,405.23,Purchase Loan
177,202,16940.76,1566.35,72,0.0262,254.52,Purchase Loan
178,203,2446.71,2744.17,72,0.0212,132.62,Lease
179,204,7949.87,1326.71,72,0.0262,119.44,Purchase Loan
180,205,53379.68,6508.96,72,0.0812,939.05,Purchase Loan
181,206,11817.46,5281.28,60,0.0612,229.12,Purchase Loan
182,207,19524.56,3077.46,72,0.0612,130.39,Lease
183,209,5633.48,2680.68,84,0.0462,78.62,Purchase Loan
184,210,13084.86,2016.64,60,0.0262,119.01,Lease
185,212,27075.37,3471.16,72,0.0262,204.08,Lease
186,213,46536.75,12139.62,72,0.0212,688.89,Purchase Loan
187,214,21516.49,2394.83,72,0.0812,378.52,Purchase Loan
188,215,17760.89,1052.35,72,0.0262,266.84,Purchase Loan
189,217,3316.83,664.85,72,0.0212,49.1,Purchase Loan
190,218,19461.72,1192.05,60,0.0612,377.34,Purchase Loan
191,219,28105.82,2952.07,84,0.0612,254.08,Lease
192,220,20299.16,1602.54,84,0.0212,260.24,Purchase Loan
193,221,49733.9,10304.52,72,0.0112,714.54,Purchase Loan
194,222,17826.47,413.24,84,0.0262,21.13,Lease
195,223,34036.3,4861.07,60,0.0662,667.87,Purchase Loan
196,224,19189.32,2363.45,84,0.0612,128.29,Lease
197,225,24527.59,7578.9,60,0.0262,436.6,Purchase Loan
198,227,30431.11,6505.32,72,0.01,435.64,Purchase Loan
199,228,20605.91,4453.44,72,0.0212,305.03,Purchase Loan
200,229,19313.98,5069.15,60,0.0362,352.39,Purchase Loan
201,230,20617.42,1012.67,72,0.0212,305.2,Purchase Loan
202,231,39173.28,6612.09,84,0.0212,502.22,Purchase Loan
203,233,15102.78,6037.55,84,0.0262,196.98,Purchase Loan
204,235,11856.68,3899.26,72,0.0212,175.52,Purchase Loan
205,236,29045.94,3494.6,72,0.0112,417.31,Purchase Loan
206,238,23050.93,3316.44,72,0.0812,405.51,Purchase Loan
207,239,5474.7,10551.33,84,0.0662,81.61,Purchase Loan
208,240,40037.17,5458.34,60,0.0112,686.46,Purchase Loan
209,241,63524.35,7281.74,72,0.0812,1117.51,Purchase Loan
210,242,18847.43,7031.25,60,0.0262,335.49,Purchase Loan
211,243,60587.85,10751,72,0.0662,518.32,Lease
212,244,11309.86,2930.64,36,0.0212,286.54,Lease
213,245,84504.22,28698.23,72,0.0462,1346.09,Purchase Loan
214,246,32909.2,6018.08,72,0.0362,509.19,Purchase Loan
215,249,67206.16,15314.61,72,0.0662,1133.57,Purchase Loan
216,250,21834.53,2101.82,72,0.0362,189.85,Lease
217,252,19975.49,4428.6,60,0.0212,351.18,Purchase Loan
218,253,22161.58,5102.27,36,0.0262,640.78,Purchase Loan
219,254,40033.11,5375.1,60,0.0362,730.43,Purchase Loan
220,255,15898.21,1912.07,72,0.0262,139.82,Lease
221,257,32894.04,7009.53,72,0.0112,371.84,Lease
222,258,54316.73,5349.57,72,0.0462,865.23,Purchase Loan
223,259,34774.08,2264.56,60,0.01,594.42,Purchase Loan
224,261,26057.03,3184.28,72,0.0612,219.7,Lease
225,262,9415.75,1803.42,72,0.0212,139.38,Purchase Loan
226,263,16998.92,1452.12,72,0.0362,263.02,Purchase Loan
227,264,27966.31,5371.09,60,0.0262,497.81,Purchase Loan
228,265,24201.77,1763.84,72,0.0362,374.47,Purchase Loan
229,266,1230.27,1632.54,72,0.0812,21.64,Purchase Loan
230,267,12301.22,1569.84,48,0.0212,267.52,Purchase Loan
231,268,15119.3,1430.45,72,0.0213,183.72,Lease
232,270,16521.64,2904.74,72,0.0263,248.3,Purchase Loan
233,271,8629.62,884.67,72,0.0363,133.56,Purchase Loan
234,272,46587.21,9683.48,60,0.0263,829.47,Purchase Loan
235,273,4031.51,834.7,72,0.0213,59.7,Purchase Loan
236,274,16170.96,5981.54,60,0.0613,313.61,Purchase Loan
237,275,10731.03,1044.14,60,0.0213,97.76,Lease
238,276,18645.72,3998.8,72,0.0363,288.58,Purchase Loan
239,277,50117.98,5362.82,72,0.0263,753.21,Purchase Loan
240,278,3779.65,3692.77,84,0.0613,55.45,Purchase Loan
241,279,17339.58,1431.23,72,0.0213,256.76,Purchase Loan
242,280,19514.25,4251.34,84,0.0613,286.29,Purchase Loan
243,282,8903.18,1115.58,72,0.0213,131.83,Purchase Loan
244,283,46662.58,5559.44,60,0.0113,422.56,Lease
245,284,19963.18,2643.45,48,0.0213,434.24,Purchase Loan
246,285,12382.74,5314.26,60,0.0363,225.99,Purchase Loan
247,286,50.91,3699.89,84,0.0263,0.66,Purchase Loan
248,287,68995.03,7816.26,36,0.0663,2118.71,Purchase Loan
249,288,30146.47,4932.45,60,0.0613,584.64,Purchase Loan
250,289,587.57,3494.21,84,0.0663,8.76,Purchase Loan
251,290,10460.4,2275.46,72,0.0813,184.07,Purchase Loan
252,291,11865.46,4356.41,84,0.0213,152.17,Purchase Loan
253,292,20949.05,11757.61,72,0.01,299.9,Purchase Loan
254,293,12870.25,2633.73,60,0.0613,249.6,Purchase Loan
255,294,3139.96,4148.24,48,0.0813,76.85,Purchase Loan
256,295,6411.53,879.05,72,0.0813,55.61,Lease
257,296,11582.03,1249.76,60,0.0363,211.37,Purchase Loan
258,297,23970.36,3418.98,84,0.0263,312.75,Purchase Loan
259,298,37372.79,5779.43,60,0.0213,657.19,Purchase Loan
260,299,48880.75,6065.56,72,0.0213,723.81,Purchase Loan
261,301,18802.25,3771.7,72,0.0363,291.01,Purchase Loan
262,302,45391.78,8716.16,72,0.0363,702.54,Purchase Loan
263,303,38696.5,3513.3,48,0.0363,867.34,Purchase Loan
264,304,57213.16,3850.83,72,0.0813,1006.77,Purchase Loan
265,305,44419.34,838.2,36,0.0263,1284.54,Purchase Loan
266,306,20530.39,2424.82,60,0.0263,143.58,Lease
267,307,16074.1,3551.01,48,0.0613,378.46,Purchase Loan
268,308,18359.58,1845.84,84,0.0263,239.54,Purchase Loan
269,309,39307.57,3163.87,60,0.0263,699.86,Purchase Loan
270,310,32916.1,6629.88,72,0.0263,269.7,Lease
271,311,39031.48,3626.7,60,0.0363,712.33,Purchase Loan
272,312,6557.66,1599.66,72,0.0263,98.55,Purchase Loan
273,314,34500.69,8941.38,72,0.01,493.89,Purchase Loan
274,315,21700.38,1939.66,72,0.01,310.65,Purchase Loan
275,316,50747.72,11752,48,0.0663,1206.52,Purchase Loan
276,318,16640.48,1273.56,72,0.0813,97.41,Lease
277,319,38672.64,7724.03,60,0.0213,680.05,Purchase Loan
278,321,21508.58,1909.88,60,0.0213,378.22,Purchase Loan
279,322,76276.75,20614.35,72,0.0213,664.6,Lease
280,323,26144.07,1846.26,84,0.0613,383.56,Purchase Loan
281,324,25781.61,5301.42,72,0.0213,381.76,Purchase Loan
282,325,21796.38,2864.43,72,0.0113,139.72,Lease
283,326,3526.46,2347.16,72,0.0213,52.22,Purchase Loan
284,328,16220.52,3011.02,72,0.0263,243.77,Purchase Loan
285,329,5832.55,2509.44,72,0.0813,102.63,Purchase Loan
286,331,29611.02,6413.64,60,0.0363,540.4,Purchase Loan
287,332,43761.27,7813.91,72,0.0113,628.92,Purchase Loan
288,333,24634.27,3715.86,72,0.0213,364.77,Purchase Loan
289,335,3182.54,603.77,60,0.0613,61.72,Purchase Loan
290,336,10514.55,3981.07,36,0.0613,320.49,Purchase Loan
291,337,39629.27,10305.85,72,0.01,567.31,Purchase Loan
292,338,28649.35,9383.4,84,0.0814,448.54,Purchase Loan
293,339,23381.12,1576.97,60,0.0364,426.81,Purchase Loan
294,340,10009.36,1669.85,84,0.0614,146.89,Purchase Loan
295,341,47460.4,9475.82,72,0.01,679.42,Purchase Loan
296,342,8128.57,2634.82,72,0.0264,122.2,Purchase Loan
297,343,14623.86,1316.6,72,0.0214,216.61,Purchase Loan
298,344,15951.58,818.91,60,0.0614,309.43,Purchase Loan
299,345,24896.74,5358.03,72,0.0264,374.28,Purchase Loan
300,346,9586.98,2566.49,84,0.0214,122.99,Purchase Loan
301,348,24115.64,3910.28,72,0.0264,362.53,Purchase Loan
302,349,85356.33,18565.77,72,0.01,1221.92,Purchase Loan
303,350,3278.86,1614.37,72,0.0214,48.57,Purchase Loan
304,351,21006.31,4212.48,84,0.0214,125.35,Lease
305,352,9871.28,1531.96,72,0.0214,146.21,Purchase Loan
306,353,57938.29,13831.2,84,0.0114,717.96,Purchase Loan
307,354,17211.98,3158.57,72,0.0364,266.47,Purchase Loan
308,355,20936.91,2618.43,72,0.0614,348.37,Purchase Loan
309,356,9222.84,2158.56,72,0.0264,138.65,Purchase Loan
310,358,21228.99,5212.31,84,0.0114,263.06,Purchase Loan
311,359,34914.52,8435.63,72,0.0364,540.54,Purchase Loan
312,360,3859.52,329.83,72,0.0214,39.72,Lease
313,361,4737.74,3394.58,36,0.0364,139.12,Purchase Loan
314,362,8967.4,2972.69,72,0.0214,151.76,Lease
315,363,22309.77,1132.9,72,0.0264,335.39,Purchase Loan
316,364,30336.17,6084.8,72,0.0114,436.11,Purchase Loan
317,365,98980.12,25373.71,72,0.0214,1466.09,Purchase Loan
318,366,43470.28,11498.52,72,0.0464,523.43,Lease
319,367,39157.05,2991.33,60,0.0264,697.35,Purchase Loan
320,369,1148.8,2772.69,72,0.0214,106.14,Lease
321,370,6000.41,2097.24,72,0.0364,92.9,Purchase Loan
322,371,62835.94,8002.99,60,0.0664,1233.58,Purchase Loan
323,372,24140.84,2239.11,72,0.01,345.59,Purchase Loan
324,374,4229.49,3597.52,72,0.0814,74.45,Purchase Loan
325,375,12798.82,2260.62,72,0.0214,189.58,Purchase Loan
326,376,24015.27,2980.58,72,0.0364,371.8,Purchase Loan
327,377,3789.94,1344.54,84,0.0214,48.62,Purchase Loan
328,378,47164.8,11230.09,60,0.0364,860.97,Purchase Loan
329,379,10028.14,1418.71,60,0.0614,194.53,Purchase Loan
330,380,21382.11,7041.53,72,0.0264,321.44,Purchase Loan
331,381,39643.69,8768.91,84,0.0114,282.57,Lease
332,382,9950.65,4431.58,84,0.0214,127.66,Purchase Loan
333,384,25968.82,2160.73,60,0.0614,503.74,Purchase Loan
334,385,28873.1,5020.01,60,0.0264,514.21,Purchase Loan
335,386,32249.87,11947.64,72,0.0264,484.82,Purchase Loan
336,387,15133.7,2551.48,72,0.0614,251.81,Purchase Loan
337,389,28779.97,1708.82,84,0.0214,369.23,Purchase Loan
338,390,15108.3,1353.16,84,0.0614,221.73,Purchase Loan
339,391,4718.41,1525.14,84,0.0364,72.22,Lease
340,392,26332.38,3772.98,84,0.0214,337.83,Purchase Loan
341,393,23400.45,4163.45,72,0.0214,346.61,Purchase Loan
342,394,19458.21,4236.51,60,0.0614,377.45,Purchase Loan
343,395,45781.57,11873.65,72,0.01,655.39,Purchase Loan
344,396,18394.46,2604.2,60,0.0364,157.6,Lease
345,397,19877.42,1758.54,72,0.0814,349.88,Purchase Loan
346,398,24875.02,2444.41,48,0.0214,541.19,Purchase Loan
347,401,14911.96,2303.5,48,0.0264,327.7,Purchase Loan
348,402,771.79,1933.91,48,0.0814,18.89,Purchase Loan
349,403,11950.93,2631.88,36,0.0614,364.33,Purchase Loan
350,404,15726.51,2777.29,72,0.0364,243.47,Purchase Loan
351,405,23126.88,3220.69,72,0.0364,358.04,Purchase Loan
352,406,44657.01,8990.54,84,0.0214,572.92,Purchase Loan
353,407,67298.19,8180.06,48,0.0814,1647.37,Purchase Loan
354,409,31063.36,1895.33,72,0.0364,480.91,Purchase Loan
355,411,23415,4161.65,72,0.0264,352,Purchase Loan
356,413,14277.14,2206.38,72,0.0264,214.63,Purchase Loan
357,414,15364.18,919.4,36,0.0365,451.22,Purchase Loan
358,415,10629.37,3013.42,72,0.0215,157.49,Purchase Loan
359,416,4658.88,2698,48,0.0215,101.38,Purchase Loan
360,417,42194.17,4338.67,72,0.0615,702.27,Purchase Loan
361,418,31513.18,4526.18,72,0.0365,488.02,Purchase Loan
362,419,23675.29,2498.91,72,0.0365,366.64,Purchase Loan
363,420,33508.72,6108.52,48,0.0665,796.98,Purchase Loan
364,421,11547.33,821.48,72,0.0365,178.82,Purchase Loan
365,422,2031.69,1461.63,60,0.0615,39.42,Purchase Loan
366,423,48456.43,11685.67,72,0.01,693.68,Purchase Loan
367,425,45732.29,7291.12,36,0.0115,1292.99,Purchase Loan
368,426,2150.85,1908.25,72,0.0815,37.87,Purchase Loan
369,428,42857.51,12937.03,60,0.01,732.6,Purchase Loan
370,429,29330.82,5955.5,48,0.0615,281.7,Lease
371,430,76163.64,12311.62,60,0.0215,1339.98,Purchase Loan
372,431,57202.75,15790.73,72,0.0215,847.54,Purchase Loan
373,432,45050.47,4578.29,72,0.0215,667.49,Purchase Loan
374,435,37715.43,5666.79,72,0.01,539.92,Purchase Loan
375,437,23452.13,5603.2,36,0.0215,673.27,Purchase Loan
376,438,6378.94,2552.92,72,0.0615,80.98,Lease
377,440,16382.69,2616.11,60,0.0215,176.26,Lease
378,441,32441.47,3979.2,60,0.0815,234.67,Lease
379,442,26925.18,2756.48,72,0.0365,416.97,Purchase Loan
380,443,23797.05,4458.28,60,0.01,406.78,Purchase Loan
381,444,32380.66,5843.56,48,0.0215,433.79,Lease
382,445,14467.92,1891.57,84,0.0365,195.44,Purchase Loan
383,446,3904.77,1955.54,72,0.0265,58.72,Purchase Loan
384,447,37835.82,5440.74,72,0.0215,560.59,Purchase Loan
385,448,51256.78,2636.13,72,0.0265,770.78,Purchase Loan
386,449,88614.14,10559.25,72,0.01,634.48,Lease
387,450,5641.32,5330.4,72,0.0815,99.32,Purchase Loan
388,451,29369.09,4263.81,36,0.0115,314.22,Lease
389,453,24966.11,6970.15,48,0.0815,418.16,Lease
390,454,14792.09,5789.04,72,0.0365,229.07,Purchase Loan
391,455,28653.28,2241.09,72,0.0365,443.73,Purchase Loan
392,457,35117.08,8191.79,84,0.01,433.04,Purchase Loan
393,458,1991.89,2580.81,84,0.0815,31.2,Purchase Loan
394,459,8636.6,1487.99,84,0.0265,112.76,Purchase Loan
395,460,31930,4055.07,84,0.01,393.74,Purchase Loan
396,461,12933.09,1895.46,48,0.0215,281.43,Purchase Loan
397,462,1880.73,1741.81,72,0.0615,31.3,Purchase Loan
398,463,6226.18,1976.32,60,0.0265,110.91,Purchase Loan
399,464,11852.97,993.93,60,0.0265,211.14,Purchase Loan
400,466,59234.02,15849.39,48,0.0465,1354.75,Purchase Loan
401,467,23582.67,3969.58,48,0.0815,577.38,Purchase Loan
402,468,21340.16,1730.86,72,0.0215,316.18,Purchase Loan
403,469,3798.27,995.82,72,0.0365,58.82,Purchase Loan
404,471,25715.42,4719.99,60,0.0615,498.95,Purchase Loan
405,472,19572.53,1836.77,84,0.0615,287.34,Purchase Loan
406,473,49548.86,4029.46,72,0.0215,734.14,Purchase Loan
407,474,5435.26,2674.04,72,0.0615,90.46,Purchase Loan
408,475,96056.93,11573.1,84,0.0215,1232.77,Purchase Loan
409,476,15448.88,3186.28,72,0.0615,257.13,Purchase Loan
410,477,5684.29,3959.75,60,0.0215,100.01,Purchase Loan
411,478,27288.76,3779.86,36,0.0365,801.43,Purchase Loan
412,479,51931.96,9652.43,84,0.01,640.39,Purchase Loan
413,480,16604.27,1590.69,60,0.0815,337.87,Purchase Loan
414,481,16407.4,1984.92,84,0.0215,210.57,Purchase Loan
415,482,19002.29,2090.07,60,0.0365,346.96,Purchase Loan
416,483,5493.07,666.15,60,0.0265,63.69,Lease
417,485,79292.08,12675.96,72,0.0615,1319.72,Purchase Loan
418,486,11133.55,4493.66,48,0.0215,242.27,Purchase Loan
419,487,37030.41,8648.34,72,0.0215,548.66,Purchase Loan
420,488,20638.36,1202.85,48,0.0815,505.3,Purchase Loan
421,489,2752.52,2088.61,84,0.0215,35.33,Purchase Loan
422,490,31913.69,13463.71,60,0.0215,561.47,Purchase Loan
423,493,23486.62,2349.3,60,0.0815,186,Lease
424,494,41108.32,4095.99,72,0.0365,322.93,Lease
425,495,12219.62,2312.06,60,0.0216,215.04,Purchase Loan
426,496,23145.64,2247.81,36,0.0816,727.01,Purchase Loan
427,497,2441.87,2232.99,84,0.0616,35.86,Purchase Loan
428,498,38982.59,7642.06,36,0.0816,1224.45,Purchase Loan
429,499,31399.3,6394.76,72,0.0216,465.36,Purchase Loan
430,500,22640.15,2552.99,84,0.0266,295.69,Purchase Loan
431,501,69415.62,16689.9,72,0.0216,1028.8,Purchase Loan
432,502,6803.36,1146.05,72,0.0816,119.82,Purchase Loan
433,503,4001.63,802.98,72,0.0216,59.31,Purchase Loan
434,504,6689.32,989.79,84,0.0216,85.88,Purchase Loan
435,505,8232.9,1762.12,84,0.0266,96.1,Lease
